GEO Acc.	Title
GSE473	PGA Human CD4+ Lymphocytes
GSE635	Identification of novel genomic determinants of cellular drug resistance in acute lymphoblastic leukemia.
GSE643	ASP sensitive all ALL
GSE648	VCR sensitive all ALL
GSE649	VCR resistant all ALL
GSE650	DNR sensitive all ALL
GSE653	ASP sensitive B-ALL
GSE654	ASP resistant B-ALL
GSE655	PRED sensitive B-ALL
GSE657	VCR sensitive B-ALL
GSE658	VCR resistant B-ALL
GSE659	DNR sensitive B-ALL
GSE974	Left ventricular apex samples
GSE982	Gene Expression-Based High Throughput Screening: HL-60 Cell Treatment with Candidate Compounds
GSE1133	tissue-specific pattern of mRNA expression
GSE1420	Barrett's esophagus, Barrett's-associated adenocarcinomas and normal esophageal epithelium
GSE1456	Gene expression of breast cancer tissue in a large population-based cohort of Swedish patients
GSE1577	T-ALL and T-lymphoblastic lymphoma
GSE1729	Gene expression profile of acute myeloid leukemia
GSE2034	Breast cancer relapse free survival
GSE2113	Plasma cell dyscrasias expression profiles associated with distinct IGH translocations in multiple myeloma
GSE2280	Prediction of lymphatic metastasis from primary squamous cell carcinoma of the oral cavity
GSE2328	Application of genome-wide expression analysis to human health & disease
GSE2351	chemotherapy cross-resistance and treatment response in childhood acute lymphoblastic leukemia
GSE2842	Additional systems to Prednisolone treated childhood ALL samples
GSE3218	Expression Profiling of Adult Male Germ Cell Tumors
GSE3218	Expression Profiling of Adult Male Germ Cell Tumors
GSE3284	A network-based analysis of systemic inflammation in humans
GSE3284	A network-based analysis of systemic inflammation in humans
GSE3307	Comparative profiling in 13 muscle disease groups
GSE3307	Comparative profiling in 13 muscle disease groups
GSE3526	Comparison of gene expression profiles across the normal human body
GSE3911	60 samples obtained at relapse
GSE4045	Classification of serrated colorectal tumors
GSE4127	Anticancer drug clustering in lung cancer based on gene expression profiles and sensitivity database
GSE4127	Anticancer drug clustering in lung cancer based on gene expression profiles and sensitivity database
GSE4183	Inflammation, adenoma and cancer: objective classification of colon biopsy specimens with gene expression signature
GSE4183	Inflammation, adenoma and cancer: objective classification of colon biopsy specimens with gene expression signature
GSE4271	Molecular subclasses of high-grade glioma: prognosis, disease progression, and neurogenesis
GSE4271	Molecular subclasses of high-grade glioma: prognosis, disease progression, and neurogenesis
GSE4475	A Biologic Definition of Burkitt's Lymphoma from Transcriptional and Genomic Profiling
GSE4475	A Biologic Definition of Burkitt's Lymphoma from Transcriptional and Genomic Profiling
GSE4885	Role of coactivator SRC-1/NcoA-1 for IL-6 target gene induction in HepG2 cells
GSE5090	PCOS patients vs control subjects
GSE5287	Prediction of response and survival following chemotherapy in patients with advanced bladder cancer
GSE5418	Gene Expression Analysis in Malaria Infection
GSE5462	Letrozole (Femara) early response to treatment
GSE5462	Letrozole (Femara) early response to treatment
GSE5580	Cell Specific Expression & Pathway Analyses Reveal Novel Alterations in Trauma-Related Human T-Cell & Monocyte Pathways
GSE5667	Transcription data from Normal Skin and Nonlesional and Lesional Atopic Dermatitis/Eczema Skin
GSE5667	Transcription data from Normal Skin and Nonlesional and Lesional Atopic Dermatitis/Eczema Skin
GSE5675	Pilocytic astrocytoma
GSE5787	Survey of Intra- and Inter-Tumour Heterogeneity of Gene Expression in Cervical Cancer
GSE5808	Changes in PBMC Gene Expression During Acute Measles
GSE5847	Tumor and stroma from breast by LCM
GSE5847	Tumor and stroma from breast by LCM
GSE6008	Human ovarian tumors and normal ovaries
GSE6008	Human ovarian tumors and normal ovaries
GSE6008	Human ovarian tumors and normal ovaries
GSE6011	Expression data from quadriceps muscle of young DMD patients and age matched controls
GSE6095	Diagnosis of Acute Lung Rejection by Gene Expression Profiling of Bronchoalveolar Lavage Cells
GSE6269	Gene expression patterns in blood leukocytes discriminate patients with acute infections
GSE6280	Expression data for normal and tumor kidneys
GSE6365	Distinct transcriptional and genetic features associated with chromosome 13 deletion in multiple myeloma
GSE6401	Up-regulation of translational machinery and distinct genetic subgroups characterize hyperdiploidy in multiple myeloma
GSE6477	Expression data from different stages of plasma cell neoplasm
GSE6477	Expression data from different stages of plasma cell neoplasm
GSE6596	Comparison of gene expression data from human and mouse breast cancers: Identification of conserved breast tumor genes
